Team name,Conference,Wins,Losses,Conf. Rank,Year
MIA,EAST,53,29,1,2021-2022
BOS,EAST,51,31,2,2021-2022
MIL,EAST,51,31,3,2021-2022
PHI,EAST,51,31,4,2021-2022
TOR,EAST,48,34,5,2021-2022
CHI,EAST,46,36,6,2021-2022
BKN,EAST,44,38,7,2021-2022
ATL,EAST,43,39,8,2021-2022
PHO,WEST,64,18,1,2021-2022
MEM,WEST,56,26,2,2021-2022
GSW,WEST,53,29,3,2021-2022
DAL,WEST,52,30,4,2021-2022
UTA,WEST,49,33,5,2021-2022
DEN,WEST,48,34,6,2021-2022
MIN,WEST,46,36,7,2021-2022
NOP,WEST,36,46,8,2021-2022
