FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Talen Horton-Tucker,Uta,G,21.96,13,16.7,34.8,21.5,10.7,16,0.75,53,0.528,40,0.25,0.462,0.49,7.5,2.9,9.5,1.8,14.8,1,0.31,0.92,8.1,104,103.8
Danuel House Jr.,Phi,F-G,29.43,10,16.7,34.8,11.1,14.5,12,0.75,13,0.538,17,0.353,0.533,0.581,4.1,1.8,6.2,0.9,7.5,0.4,0.2,0.6,4.5,111.8,107.1
Caleb Houstan,Orl,G,19.84,9,17.4,36.3,9.3,11.9,6,0.833,10,0.4,17,0.294,0.426,0.472,3.1,1.8,5.8,0.4,3.3,0.22,0.11,0.44,3,97.3,108.8
Trevor Hudgins,Hou,G,23.64,1,3.8,7.9,10.7,0,0,0,0,0,1,1,1.5,1.5,3,0,0,0,0,0,0,0,0,,
Kevin Huerter,Sac,G-F,24.21,11,31.8,66.2,18.6,8.7,29,0.724,41,0.463,82,0.5,0.654,0.67,16.5,2.7,5.1,3.1,14.3,1,0.45,1.18,6.5,125.5,111.8
De'Andre Hunter,Atl,F-G,24.95,12,29.8,62,20.6,9.6,27,0.667,101,0.535,48,0.375,0.544,0.559,15,3.9,6.8,1,4.7,0.33,0.17,1.42,5.2,106.4,105.3
Bones Hyland,Den,G,22.16,9,20.8,43.2,30.1,13.6,26,0.769,51,0.275,52,0.5,0.515,0.551,14,1.7,4.4,3.7,25.3,0.67,0.33,2,8.6,107,109.8
Serge Ibaka,Mil,F,33.15,10,11.6,24.2,15.3,16.3,11,0.636,21,0.571,10,0.4,0.581,0.6,4.3,3.3,14.5,0.3,3.7,0,0.6,0.7,5.6,111.4,94.6
Brandon Ingram,Nor,F,25.2,8,31.9,66.5,28.4,15.2,40,0.8,100,0.48,28,0.536,0.551,0.594,21.6,5.9,10.3,3.9,18.9,0.63,0.88,3.25,9.9,109.7,106.1
Kyrie Irving,Bro,G,30.64,8,38.7,80.6,30.2,9.1,41,0.927,97,0.588,75,0.28,0.515,0.566,26.9,5.1,7.3,5.1,22.9,1.5,1.13,2.38,9.2,112.6,108.3
Jaden Ivey,Det,G,20.75,12,31.2,64.9,22.2,14.1,45,0.689,100,0.5,51,0.314,0.49,0.524,14.9,5.3,8.8,3.8,20.3,1.5,0.42,2.33,8.6,104.5,111.2
Isaiah Jackson,Ind,F,20.84,11,18.2,37.9,17.8,14.9,33,0.697,59,0.593,1,0,0.583,0.624,8.5,5.5,16.5,1.3,10.1,0.45,1.27,1.18,8.6,120.4,101.7
Justin Jackson,Bos,F,27.63,3,4.9,10.2,18.2,0,0,0,1,0,5,0.4,0.5,0.5,2,0.3,3.8,0.3,9.4,0,0,0,4.6,107.1,106.4
Reggie Jackson,Lac,G,32.58,12,29.1,60.6,19.8,15.6,17,0.941,75,0.467,47,0.277,0.447,0.483,10.4,1.9,3.6,4,20.1,0.67,0.08,2,5.9,95.8,109.3
LeBron James,Lal,F,37.87,10,35.7,74.4,32.2,12.4,48,0.667,147,0.565,71,0.239,0.498,0.521,24.9,8.7,12.7,6.9,34.9,1.1,0.7,3.4,12.8,104,109.4
Ty Jerome,Gol,G-F,25.35,8,15,31.3,12.7,5.5,10,1,14,0.714,16,0.375,0.633,0.698,6,1,3.8,1.9,16.7,0.13,0.13,0.25,6,146.4,115.7
Isaiah Joe,Okc,G,23.36,9,4.8,10,19,0,4,1,5,0.8,13,0.462,0.722,0.759,3.3,0.7,7.1,0.6,17.7,0.11,0.11,0,9.3,160.5,105.9
Cameron Johnson,Pho,F,26.69,8,25.3,52.7,19.4,2.2,11,0.727,32,0.469,51,0.431,0.578,0.592,13,3.4,7.7,1.8,10.3,1.13,0.38,0.25,6.8,124.1,106.1
Jalen Johnson,Atl,F,20.9,12,14.2,29.6,13.2,5.5,12,0.667,30,0.567,16,0.188,0.467,0.497,4.3,3.3,12.1,0.8,6.6,0.67,0.25,0.25,6.3,109.3,101.2
James Johnson,Ind,F,35.73,3,14.8,30.9,11,0,0,0,7,0.571,5,0.2,0.458,0.458,3.7,2.3,8.7,1.3,11.9,0.33,0.67,0,6,110.7,98.1
Keldon Johnson,San,F-G,23.09,12,34,70.7,27.6,13.3,60,0.767,103,0.495,105,0.429,0.57,0.604,23.6,5.3,8.6,3.7,16.9,1,0.08,3,9.1,110.5,113.9
Keon Johnson,Por,G,20.68,6,17.7,36.9,25,21.4,6,0.333,22,0.364,23,0.348,0.444,0.441,7,2.5,8,1.7,14.4,0.83,0.33,2.17,7,80.1,101.6
Nikola Jokic,Den,C,27.73,12,31.4,65.3,26.3,16.7,64,0.875,138,0.659,28,0.286,0.62,0.675,21.8,9.8,17.2,8.5,41.8,1.33,0.67,3.25,15.5,131,104.8
Derrick Jones Jr.,Chi,F,25.74,11,14.3,29.9,15.3,3.5,31,0.839,31,0.484,10,0.3,0.476,0.595,5.9,2.6,10.2,0.6,6.1,0.45,0.91,0.18,5.9,135.1,105.5
Damian Jones,Lal,C,27.37,9,8.4,17.5,17,16.4,10,0.7,20,0.5,1,0,0.476,0.531,3,2.7,16.6,0.3,5.7,0.11,0.44,0.56,6.4,106.5,102.1
Herbert Jones,Nor,F,24.1,8,31.2,64.9,14.8,10.3,33,0.788,49,0.571,15,0.133,0.484,0.56,11,3.6,6.5,2.1,8.9,1.25,0.63,1.13,5.6,117.9,103.4
Kai Jones,Cha,C-F,21.81,5,4.8,10.1,13.5,0,4,0.5,3,0.667,3,0.333,0.583,0.58,1.8,0.2,2.1,0.4,11.8,0.2,1,0,4.4,127.9,108.4
Tre Jones,San,G,22.84,13,30.4,63.2,19,14.5,36,0.917,107,0.411,31,0.419,0.46,0.52,12.3,3.8,7.1,6.6,29.8,1.38,0.23,2,8.9,112.6,111.6
Tyus Jones,Mem,G,26.51,13,22.3,46.5,20.2,9.9,11,0.545,71,0.535,51,0.353,0.533,0.536,10.5,1.6,3.8,3.8,24.6,0.54,0.08,1.08,7.2,115.9,117.5
DeAndre Jordan,Den,C,34.31,10,13.1,27.2,16,26.5,16,0.563,28,0.786,1,1,0.81,0.777,5.6,5.1,21.6,0.6,6.2,0.1,0.6,1.3,7.9,120,103.7
Cory Joseph,Det,G,31.23,11,12.6,26.2,11.3,13.3,8,0.875,13,0.385,16,0.375,0.483,0.538,3.2,1,4.1,2.5,27.7,0.27,0.09,0.45,6.3,122.4,110.3
Nikola Jovic,Mia,F,19.43,3,7.4,15.4,15.9,12.5,0,0,4,0.75,3,0,0.429,0.429,2,0.7,5.2,0.3,6.8,0.67,0,0.33,4,86.8,87.5
Frank Kaminsky,Atl,F-C,29.61,4,3.6,7.5,13.7,21,4,1,1,0,1,0,0,0.532,1,0.8,10.8,0.5,15.1,0,0,0.25,8.2,,
Trevor Keels,Nyk,G,19.21,1,1,2.1,41.6,0,0,0,0,0,1,0,0,0,0,1,51.1,0,0,0,0,0,0,,
Luke Kennard,Lac,G,26.38,11,22.1,46.1,14.9,13.6,2,1,29,0.552,40,0.475,0.645,0.651,8.3,3.3,8.2,0.6,4.2,0.55,0,1,4.6,111.4,106
Walker Kessler,Uta,C,21.3,10,14.9,30.9,13.2,10.6,16,0.563,35,0.743,0,0,0.743,0.725,6.1,5,18.4,0.8,7.5,0.2,1.7,0.5,7.8,145.4,100
Braxton Key,Det,F,25.74,2,3.5,7.2,11.4,0,2,1,1,1,0,0,1,1.064,2,0.5,7.6,0,0,0,0,0,0,,
Corey Kispert,Was,F,23.7,4,21.2,44.1,13.4,11.7,6,0.833,8,0.75,12,0.167,0.45,0.508,5.8,1.8,4.6,1.8,11.2,0.5,0,0.75,5,102.6,111.5
Maxi Kleber,Dal,F,30.79,11,26.1,54.4,9.3,13.5,12,0.75,15,0.6,31,0.29,0.489,0.527,4.9,4,9.3,0.9,4.8,0.55,0.73,0.73,4,108.9,106.9
Nathan Knight,Min,F-C,25.15,5,2.7,5.6,10.8,29.1,1,1,1,1,1,0,0.5,0.615,0.6,1,20,0,0,0.4,0,0.2,0,,
Kevin Knox II,Det,F,23.26,8,8.1,16.8,18.1,14.3,0,0,8,0.5,16,0.125,0.292,0.292,1.8,1,6.5,0.1,2.2,0.13,0.13,0.5,2.8,59.5,106.4
Christian Koloko,Tor,C,22.39,13,17.9,37.4,12.1,15,20,0.6,45,0.422,3,0,0.396,0.44,3.8,3.5,11,0.5,3.9,0.31,1.31,0.77,4.2,96.6,97.6
John Konchar,Mem,G,26.64,12,24.9,52,10.4,8,2,0.5,23,0.565,45,0.4,0.588,0.588,6.8,5.3,11.2,1.1,5.5,1,0.33,0.5,5.5,126.7,109.4
Furkan Korkmaz,Phi,G-F,25.3,4,5.9,12.3,14.8,25.8,4,1,1,0,3,0.333,0.375,0.608,1.8,0.8,7.3,0.8,16.8,0,0,0.5,7.1,114.3,114
Luke Kornet,Bos,F-C,27.33,8,13,27,11.9,21.6,4,0.75,17,0.529,3,0.333,0.525,0.551,3,3.5,15.1,1.4,13.8,0.25,0.88,0.75,7.5,124.7,106.2
Vit Krejci,Atl,G,22.4,5,2.7,5.5,15.6,0,0,0,1,1,4,0.5,0.8,0.8,1.6,0.4,7.8,0.2,10.8,0,0,0,7.5,,
Jonathan Kuminga,Gol,F,20.1,9,12.9,26.9,18.9,23,12,0.833,26,0.5,9,0.111,0.414,0.484,4.3,1.9,8.3,0.6,5.7,0.33,0.11,1.33,5.3,85.9,108.3
Kyle Kuzma,Was,F,27.3,12,32.8,68.4,24.8,10.9,45,0.733,103,0.553,74,0.351,0.542,0.572,18.8,7.7,13,2.4,11.8,0.25,0.67,2,8.6,108.7,106
Anthony Lamb,Gol,F,24.81,4,21.2,44.2,12.9,11.5,0,0,9,0.778,14,0.429,0.696,0.696,8,3.5,9.3,1.3,8.1,1,0,0.75,6.3,128.1,104
Jock Landale,Pho,C,27.05,12,15.5,32.3,21.5,9.8,24,0.792,49,0.673,23,0.13,0.521,0.569,7.8,4.5,16.8,0.9,9,0.33,0.83,0.75,8.2,118.8,92.4
Romeo Langford,San,G-F,23.05,7,16.8,34.9,13.4,13.2,4,0.75,24,0.5,7,0.143,0.435,0.458,4.3,2,6.7,0.4,3.3,0.43,0.29,0.71,3.6,96.8,113.2
Jake LaRavia,Mem,F,21.03,10,18,37.5,11.6,12,5,1,13,0.538,29,0.448,0.631,0.656,5.8,3.5,10.3,0.5,3.6,0.5,0.2,0.6,4.8,126.9,101.5
Zach LaVine,Chi,G-F,27.68,9,33.7,70.3,27,9.9,39,0.846,84,0.464,72,0.403,0.529,0.572,22,3.8,6.2,4.1,19.9,1.33,0.11,2.11,8.3,112.5,106.3
Damion Lee,Pho,G-F,30.06,12,19,39.5,13.8,8.3,14,0.857,21,0.333,39,0.436,0.542,0.582,6.4,2.4,7.4,1.1,7.7,0.58,0,0.5,5.4,117.8,105.4
Alex Len,Sac,C,29.41,3,2.8,5.8,9.9,0,2,0.5,1,0,0,0,0,0.266,0.3,0.7,14.3,0,0,0,0,0,0,,
Kawhi Leonard,Lac,F,31.37,2,21,43.8,27.8,15.4,9,0.889,12,0.583,6,0.167,0.472,0.569,12.5,6.5,17.1,2,15.1,1.5,0,2,10.4,111.2,94.9
Caris LeVert,Cle,G,28.22,12,35.3,73.6,19.1,13.4,39,0.769,87,0.356,57,0.421,0.465,0.509,13.7,4.8,7.9,5.3,21.2,0.83,0.08,2.08,8,109.2,103
Damian Lillard,Por,G,32.33,7,35,73,32.2,16.1,59,0.864,54,0.574,71,0.408,0.596,0.662,28.6,4.7,7.7,5.1,26.3,0.57,0.29,4.14,10.1,120.7,109
Nassir Little,Por,F-G,22.75,12,15.4,32,16.7,10,12,0.583,30,0.6,28,0.464,0.647,0.648,6.8,2.6,9.6,1,10.3,0.25,0.17,0.58,6.8,122.9,107.3
Isaiah Livers,Det,F,24.29,11,18.9,39.4,12.8,9.4,9,0.778,10,0.3,44,0.409,0.556,0.578,6.1,2.5,7,0.5,4.2,0.36,0.45,0.55,4.2,114.3,110.5
Kenneth Lofton Jr.,Mem,F,20.25,3,4.7,9.7,30.7,0,3,0.333,8,0.5,1,0,0.444,0.436,3,0.7,7.6,0.3,11.7,0,0,0,7.3,102.1,97.1
Kevon Looney,Gol,F,26.76,12,24,50,9.4,6.2,14,0.643,54,0.63,0,0,0.63,0.64,6.4,6.8,16.1,3.3,17.8,0.33,0.42,0.33,8.7,151.4,104
Brook Lopez,Mil,C,34.61,12,31.3,65.3,19.7,11.2,19,0.789,73,0.616,77,0.364,0.58,0.597,15.8,6.4,10.4,1,5,0.67,2.67,1.67,6,114.3,99.9
Robin Lopez,Cle,C,34.61,7,8.4,17.6,14.9,19.8,5,0.6,14,0.786,0,0,0.786,0.772,3.6,1.6,11,0.4,7.7,0,0.43,0.57,6.3,133.5,104.6
Kevin Love,Cle,F-C,34.18,12,20.6,42.8,22.7,10.9,29,0.828,29,0.517,73,0.411,0.588,0.627,12,7.7,21.9,2.5,18.4,0.17,0.17,1.17,11.9,125.2,101.2
Kyle Lowry,Mia,G,36.64,12,35.3,73.5,16.1,14.9,44,0.909,36,0.5,76,0.355,0.522,0.598,13.1,4.3,7.1,5.6,23,1.25,0.42,1.92,7.7,119.2,105.9
Trey Lyles,Sac,F,27.02,9,15.3,31.8,20,15.9,9,0.667,12,0.5,37,0.378,0.551,0.566,6.7,2.8,10.8,1,9.2,0.44,0.56,1.11,6.9,100.8,109.1
Theo Maledon,Cha,G,21.42,12,12.8,26.7,14.6,26.1,6,0.833,19,0.579,18,0.333,0.541,0.568,3.8,1.8,7.1,2.2,23.7,0.42,0.25,1.17,7.7,100.4,108.6
Sandro Mamukelashvili,Mil,F-C,23.47,4,5.8,12,18,10,0,0,4,0.25,5,0.2,0.278,0.278,1.3,1.8,15.4,0,0,0,0,0.25,0,67,103.2
Terance Mann,Lac,G-F,26.07,12,17.8,37,15.1,15.3,11,0.545,39,0.769,17,0.294,0.67,0.666,6.8,2.9,9.1,1.3,11.4,0.58,0.25,0.92,6.6,120.2,102.6
Tre Mann,Okc,G,21.77,12,25.8,53.8,20.7,8.4,16,0.625,64,0.484,70,0.329,0.489,0.5,11.8,3.3,6.7,2.4,13.2,1,0.08,1.08,7,104.4,108.5
Boban Marjanovic,Hou,C,34.24,4,3.1,6.4,20.6,16.1,5,0.6,3,0.333,0,0,0.333,0.481,1.3,1,17.6,0.3,11.2,0.25,0,0.25,9.4,,
Lauri Markkanen,Uta,F-C,25.48,13,33.1,69,24.7,9.8,58,0.879,123,0.65,82,0.341,0.595,0.64,22.7,8.8,14.4,2.5,11.6,0.62,0.92,1.92,9.6,125.8,107.3
Naji Marshall,Nor,F,24.8,12,20.1,41.9,16.4,12.8,17,0.706,48,0.5,26,0.346,0.507,0.534,7.3,3,8.3,1.3,8.8,0.67,0.25,1,6.1,107.7,108
Kenyon Martin Jr.,Hou,F,21.85,12,25.5,53.2,16.7,10.3,29,0.655,56,0.625,44,0.364,0.59,0.607,11.4,4.8,10.1,1.7,10.1,0.5,0.67,1.08,7.1,121.6,111.3
Caleb Martin,Mia,F,27.12,11,27.9,58.1,14.2,9.1,8,0.875,59,0.475,27,0.333,0.483,0.503,8.2,4.5,9.3,1.5,8.2,1.27,0.09,0.82,5.5,108.7,106
Cody Martin,Cha,F,27.12,1,0.9,1.9,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Tyrese Martin,Atl,G,23.69,5,2.9,6.1,14.2,0,0,0,3,0.667,2,0.5,0.7,0.7,1.4,0.2,3.5,0,0,0.2,0,0,0,,
Garrison Mathews,Hou,G,26.05,12,12.5,26.1,13.4,10.1,8,1,1,0,40,0.35,0.512,0.562,4.2,0.8,3.6,0.4,4.6,0.25,0.08,0.42,3.5,113.3,113.2
Bennedict Mathurin,Ind,G-F,20.4,11,28,58.3,27.3,13.6,65,0.846,79,0.481,71,0.437,0.563,0.627,20.4,3.5,7,2.2,12.2,0.45,0.09,2.55,7.7,116.1,114.2
Wesley Matthews,Mil,G,36.08,12,16.7,34.8,11.1,11.2,6,0.833,10,0.3,35,0.314,0.433,0.462,3.7,2.5,7.6,0.7,5.3,0.75,0.33,0.5,4.5,103.8,97.6
Tyrese Maxey,Phi,G,22.02,12,37.7,78.5,26.8,9.3,56,0.75,134,0.478,85,0.412,0.532,0.564,22.9,3.6,5.5,4.1,18.8,0.83,0.17,2.08,7.4,110.4,110.7
Miles McBride,Nyk,G,22.18,4,2.6,5.4,11.5,0,2,0,0,0,2,0,0,0,0,0,0,0.5,22.5,0,0,0,0,,
CJ McCollum,Nor,G,31.15,12,35.8,74.6,25.7,9.9,26,0.769,145,0.462,79,0.291,0.453,0.474,18.6,5.3,8.3,6.3,25.6,1.33,0.67,2.17,9.5,104.3,109.2
T.J. McConnell,Ind,G,30.63,10,15.7,32.8,17.2,22.6,3,0.667,48,0.396,2,0,0.38,0.39,4,2.3,8.1,3,25.6,1.2,0.3,1.5,7.7,87.8,110.7
Jaden McDaniels,Min,F,22.12,13,29.5,61.4,14.6,15.8,27,0.815,66,0.682,34,0.353,0.63,0.661,11.4,3.5,6.3,1.2,5.8,1.23,1.31,1.62,4.9,117.7,104.9
Jalen McDaniels,Cha,F-C,24.78,13,26.3,54.7,16.9,13.1,17,0.824,65,0.446,47,0.404,0.513,0.54,9.9,5.2,10.2,2.3,12.8,1.23,0.62,1.38,7.5,107.2,103
Doug McDermott,San,F,30.86,13,21.1,43.9,19.1,10.4,12,0.667,44,0.5,63,0.413,0.57,0.579,10,2.2,5.9,1.4,9.4,0,0.15,1,5.9,107.9,114.2
JaVale McGee,Dal,C-F,34.81,10,9.5,19.7,24.2,21.8,17,0.588,32,0.5,0,0,0.5,0.532,4.2,3,19.3,0.2,3.4,0.3,0.5,1.1,5.7,96.7,99.9
Bryce McGowens,Cha,G,20.01,5,6,12.4,17.2,8.2,5,1,6,0.667,3,0.333,0.611,0.714,3.2,0.4,3.5,0.2,5.1,0.4,0.2,0.2,4.2,136.5,112
Rodney McGruder,Det,G,31.29,5,4.2,8.7,15.7,0,2,1,3,0,4,0.25,0.214,0.317,1,0.8,10,0.2,6.5,0,0,0,5.2,93,118.2
Jordan McLaughlin,Min,G,26.59,11,15.7,32.7,10.9,13.4,6,1,18,0.667,18,0.111,0.417,0.466,3.3,1.8,6.2,3.6,29.5,0.55,0.09,0.55,7.1,117.1,114.4
De'Anthony Melton,Phi,G,24.46,11,24.7,51.6,17.4,9.5,7,0.714,45,0.511,47,0.34,0.511,0.521,9,4.1,9.5,2.7,16.9,1.73,0.45,0.91,7.5,110.4,105.8
Chimezie Metu,Sac,F-C,25.64,7,11.4,23.8,16.7,6.5,6,0.833,18,0.611,8,0.125,0.481,0.524,4.3,2.6,13.4,1.1,14.3,0.29,0.14,0.29,8.1,113,108.8
Patty Mills,Bro,G,34.25,12,13,27,16.2,5.3,10,1,10,0.5,39,0.41,0.592,0.637,5.7,0.8,3.2,0.8,9.3,0.17,0.08,0.25,4.7,127.6,116.1
Shake Milton,Phi,G-F,26.13,8,11.5,24,19.9,27,4,0.75,22,0.455,6,0.167,0.411,0.437,3.3,2.3,11.2,1.1,14.4,0,0.13,1.38,7.1,80.4,102.5
Davion Mitchell,Sac,G,24.19,11,19.2,40.1,17.8,18.5,3,0.667,34,0.559,35,0.371,0.558,0.562,7.2,1.4,4.2,1.8,13.5,0.55,0,1.45,5.5,96.2,110.1
Donovan Mitchell,Cle,G,26.18,11,39.1,81.4,31,12.1,64,0.875,135,0.57,106,0.434,0.606,0.646,31.6,4.7,7.1,6.1,28,1.36,0.64,3.36,9.9,123.9,103.2
Evan Mobley,Cle,C,21.4,12,34,70.9,19.7,15.2,44,0.773,126,0.595,11,0.182,0.569,0.608,15.8,7.1,12.2,2.1,9.4,0.83,1.5,2.33,7.3,114.7,100.7
Isaiah Mobley,Cle,F,23.13,1,4.1,8.5,10.6,0,0,0,0,0,1,1,1.5,1.5,3,1,14.3,0,0,0,0,0,0,300,82.9
Chima Moneke,Sac,F,26.89,1,6.3,13.1,13,0,2,0,1,0,0,0,0,0,0,2,18.8,1,18.6,0,0,0,0,92.2,89.5
Malik Monk,Sac,G,24.77,11,21.6,45,23.9,13.1,21,0.905,42,0.5,62,0.371,0.534,0.574,11.8,2.4,6.5,4.3,29.6,0.45,0.36,1.55,9.2,115,111.6
Moses Moody,Gol,G,20.45,11,16.9,35.2,17.1,19.8,15,0.8,20,0.5,34,0.353,0.519,0.561,6.2,2.2,7.3,0.5,3.5,0.45,0.45,1.36,4.5,93.9,113.7
Wendell Moore Jr.,Min,G,21.15,1,2.5,5.2,33.6,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,
Ja Morant,Mem,G,23.26,12,32.9,68.5,36.2,14,99,0.788,191,0.503,61,0.41,0.53,0.584,28.8,6,9.7,7,36.2,1,0.33,4,13,116.3,110.1
Marcus Morris Sr.,Lac,F,33.2,10,31.8,66.1,19.4,8,7,1,65,0.585,58,0.379,0.577,0.591,14.9,6,10.4,2.2,11,1,0.4,1.1,7.3,113.1,102.5
Markieff Morris,Bro,F,33.2,7,8.1,16.8,17.4,27.3,0,0,4,0,12,0.417,0.469,0.469,2.1,1.7,11.7,0.6,9.5,0.29,0.14,0.86,6.4,76.5,98.1
Monte Morris,Was,G,27.38,12,27.4,57.2,15.3,9.7,19,0.737,62,0.484,32,0.344,0.495,0.523,8.9,3.4,6.9,4.7,23.9,0.67,0.25,0.92,7.6,115.3,112.6
Trey Murphy III,Nor,F,22.4,12,29.5,61.4,14.1,7.6,20,0.95,34,0.588,66,0.424,0.62,0.657,11.9,4.8,9,1.5,6.7,1,0.42,0.75,6,133.5,108.6
Dejounte Murray,Atl,G,26.15,12,36.5,76,25.8,11.4,27,0.852,157,0.522,73,0.329,0.513,0.535,21.6,6.2,8.7,8.1,32.7,2.25,0.5,2.58,11.3,111.7,108.2
Jamal Murray,Den,G,25.72,11,28.4,59.1,26.3,11.9,23,0.696,111,0.468,49,0.347,0.484,0.503,15.5,3.6,7.1,4.5,23.2,0.91,0,2.09,8.9,103.2,116.6
Keegan Murray,Sac,F,22.23,10,31.5,65.7,16.9,13.9,9,0.778,40,0.575,61,0.361,0.554,0.567,11.9,3.7,7,1.3,5.8,0.9,0.9,1.7,4.9,101.2,110.9
Mike Muscala,Okc,F-C,31.37,10,14,29.1,20.9,7.1,14,0.786,22,0.636,37,0.297,0.517,0.552,7.2,4.4,16.2,0.6,6.1,0,0.5,0.5,7.6,113,98.8
Svi Mykhailiuk,Nyk,G-F,25.43,3,2,4.1,31.3,22.5,1,0,0,0,3,1,1.5,1.308,3,0.7,17.3,0,0,0,0,0.33,0,,
Larry Nance Jr.,Nor,F-C,29.86,11,22.8,47.5,13.3,13.9,7,0.571,60,0.667,5,0.4,0.662,0.661,8.2,5.4,13.2,2.5,14.9,0.91,0.55,1,8.4,128.9,103.3
Andrew Nembhard,Ind,G-F,22.82,10,20,41.6,14.7,15.2,5,1,27,0.444,32,0.375,0.508,0.531,6.5,2.3,6.3,3.4,22.8,0.8,0.1,1.1,7.4,112.5,109.5
Aaron Nesmith,Ind,G-F,23.07,7,22,45.8,15.9,13.3,9,0.778,23,0.522,25,0.28,0.469,0.5,7.4,3.4,8.6,1.7,10.5,0.29,0.86,1.14,6.4,99.9,108
Raul Neto,Cle,G,30.48,7,12.2,25.5,15.6,13.1,6,1,15,0.467,9,0.333,0.479,0.544,4.1,1.7,8.2,1.9,20.9,0.57,0,0.57,7.8,117.8,101.9
Georges Niang,Phi,F,29.41,12,18.3,38.1,18.4,10,6,1,17,0.529,61,0.459,0.654,0.67,9,2,6.3,0.7,5.8,0.33,0.25,0.75,5.1,117.3,105.8
Daishen Nix,Hou,G,20.75,10,14.1,29.3,14.4,28.1,4,0.75,12,0.25,22,0.455,0.529,0.545,3.9,1.1,4.2,2.1,20.7,0.8,0.1,1.4,5.9,98.6,114.4
Zeke Nnaji,Den,F-C,21.84,6,4.3,8.9,23,14.4,2,1,8,0.625,3,0,0.455,0.505,2,1,13,0,0,0.33,0,0.33,0,98.6,81.9
Nerlens Noel,Det,C-F,28.59,4,13.5,28.1,13,17.9,4,0.75,12,0.333,0,0,0.333,0.4,2.8,3.8,14.5,0.8,7.8,0.75,0.25,0.75,6,83,106.3
Jaylen Nowell,Min,G,23.35,13,18.4,38.4,27.8,8.2,17,0.765,86,0.477,52,0.308,0.471,0.491,11,2.9,8.5,2.3,19.9,0.54,0.15,1,9.1,102,109
Kendrick Nunn,Lal,G,27.28,10,13.8,28.7,24.5,18.7,3,0.667,32,0.406,32,0.25,0.391,0.398,5.2,1.5,5.7,1.2,12.8,0.2,0.1,1.5,6.1,72.1,112.7
Jusuf Nurkic,Por,C,28.22,10,29.5,61.4,20.3,18.4,32,0.875,86,0.488,11,0.545,0.526,0.585,13,11.2,21.6,2.5,13.3,0.9,0.8,2.5,9.7,113.4,96.3
Jordan Nwora,Mil,F,24.18,12,17.9,37.3,18.1,10.7,13,1,41,0.293,37,0.297,0.365,0.418,5.8,4.1,11.6,0.8,6.5,0.33,0.08,0.83,6,91.7,101.9
Chuma Okeke,Orl,F,24.24,13,20.1,41.8,12.2,10.9,17,0.765,18,0.556,40,0.35,0.534,0.573,5.8,4.5,12.6,1.7,11.4,0.38,0.46,0.62,7,125.4,105.9
Josh Okogie,Pho,G,24.2,11,5.1,10.7,16.7,23.1,6,0.667,7,0.571,7,0,0.286,0.361,1.1,1.2,13.3,0,0,0.27,0.18,0.45,0,67,96.9
Onyeka Okongwu,Atl,F-C,21.92,12,20,41.6,14.1,9.8,15,0.667,66,0.682,1,0,0.672,0.679,8.3,5.7,14.7,1,6.8,0.58,0.83,0.67,7.2,135,96.6
Isaac Okoro,Cle,F-G,21.79,12,14.7,30.6,11.5,21.6,10,0.8,20,0.45,12,0,0.281,0.357,2.2,1.3,5.3,0.3,2.9,0.42,0.08,0.83,2.6,67.1,96.7
KZ Okpala,Sac,F-G,23.54,6,6.4,13.4,5.6,0,0,0,1,0,4,0.25,0.3,0.3,0.5,1,9.2,0.3,6.3,0,0,0,3.3,105.5,109.7
Kelly Olynyk,Uta,F-C,31.57,13,26.5,55.2,18,22.8,34,0.735,63,0.571,37,0.568,0.675,0.696,12.3,4.2,8.5,3.2,16.8,1.38,0.54,2.62,8.3,117.9,97.5
Eugene Omoruyi,Okc,F,25.74,6,11.4,23.8,21.2,11.5,11,0.636,15,0.6,11,0.545,0.692,0.697,7.2,2,9,0.3,4.4,0.17,0,0.67,5.7,126.7,90.1
