Team name,Conference,Wins,Losses,Conf. Rank,Year
MIL,EAST,60,22,1,2018-2019
TOR,EAST,58,24,2,2018-2019
PHI,EAST,51,31,3,2018-2019
BOS,EAST,49,33,4,2018-2019
IND,EAST,48,34,5,2018-2019
BKN,EAST,42,40,6,2018-2019
ORL,EAST,42,40,7,2018-2019
DET,EAST,41,41,8,2018-2019
GSW,WEST,57,25,1,2018-2019
DEN,WEST,54,28,2,2018-2019
POR,WEST,53,29,3,2018-2019
HOU,WEST,53,29,4,2018-2019
UTA,WEST,50,32,5,2018-2019
OKC,WEST,49,33,6,2018-2019
SAS,WEST,48,34,7,2018-2019
LAC,WEST,48,34,8,2018-2019
