Team name,Conference,Wins,Losses,Conf. Rank,Year
TOR,EAST,59,23,1,2017-2018
BOS,EAST,55,27,2,2017-2018
PHI,EAST,52,30,3,2017-2018
CLE,EAST,50,32,4,2017-2018
IND,EAST,48,34,5,2017-2018
MIA,EAST,44,38,6,2017-2018
MIL,EAST,44,38,7,2017-2018
WAS,EAST,43,39,8,2017-2018
HOU,WEST,65,17,1,2017-2018
GSW,WEST,58,24,2,2017-2018
POR,WEST,49,33,3,2017-2018
OKC,WEST,48,34,4,2017-2018
UTA,WEST,48,34,5,2017-2018
NOP,WEST,48,34,6,2017-2018
SAS,WEST,47,35,7,2017-2018
MIN,WEST,47,35,8,2017-2018
