Team name,Conference,Wins,Losses,Conf. Rank,Year
MIL,EAST,56,17,1,2019-2020
TOR,EAST,53,19,2,2019-2020
BOS,EAST,48,24,3,2019-2020
IND,EAST,45,28,4,2019-2020
MIA,EAST,44,29,5,2019-2020
PHI,EAST,43,30,6,2019-2020
BKN,EAST,35,37,7,2019-2020
ORL,EAST,33,40,8,2019-2020
LAL,WEST,52,19,1,2019-2020
LAC,WEST,49,23,2,2019-2020
DEN,WEST,46,27,3,2019-2020
HOU,WEST,44,28,4,2019-2020
OKC,WEST,44,28,5,2019-2020
UTA,WEST,44,28,6,2019-2020
DAL,WEST,43,32,7,2019-2020
POR,WEST,35,39,8,2019-2020
